seg_id,time_to_failure
seg_00030f,2.8260245
seg_0012b5,4.0410485
seg_00184e,3.6595316
seg_003339,6.2511325
seg_0042cc,5.110066
seg_004314,1.203337
seg_004cd2,4.921797
seg_004ee5,3.6501975
seg_004f1f,3.2597964
seg_00648a,3.3111997
seg_006e4a,2.4355397
seg_007a37,2.5159633
seg_00a37e,2.1360629
seg_00be11,2.4280224
seg_00c35b,7.229218
seg_00cc91,2.931264
seg_00e5f7,4.920669
seg_00f3b9,2.046507
seg_010eab,4.4682403
seg_0125d9,3.9922903
seg_0144cb,4.759772
seg_0165c6,5.8060813
seg_016913,2.1309643
seg_016cdb,3.687864
seg_017314,5.5678644
seg_01a8dc,3.3806572
seg_01c775,5.108176
seg_01ecb0,2.9812465
seg_02042f,2.7923157
seg_025e78,4.6983976
seg_032822,2.1008444
seg_0339ca,3.5498028
seg_037461,2.6513736
seg_038879,5.499198
seg_03d386,1.351867
seg_03d63e,1.4585235
seg_03d680,6.6111107
seg_03f380,2.2487693
seg_0445d7,3.8449814
seg_046c28,2.5196202
seg_0488a1,6.3516884
seg_049957,7.567718
seg_04a696,5.2337646
seg_04ae38,4.0941906
seg_04b87a,6.038888
seg_04cceb,4.368571
seg_04ee93,5.7281923
seg_04fd93,4.0753083
seg_0536c9,1.5254718
seg_055127,4.2315164
seg_05a1b0,3.3688743
seg_05a4ad,4.7382016
seg_05b66a,6.247281
seg_05bef4,1.888324
seg_05e0d7,3.0697455
seg_05f126,4.958486
seg_05f9d6,5.7720475
seg_060ce4,1.8524379
seg_061a33,5.764237
seg_0620e6,4.248167
seg_063865,4.2751565
seg_065588,3.3801887
seg_06893f,2.832304
seg_06b8c9,3.9230685
seg_06bbc5,3.5942833
seg_06d4a2,3.5208323
seg_06d7ba,2.8047206
seg_070bb0,1.8536401
seg_071067,1.7742987
seg_073696,6.523874
seg_075340,2.3655868
seg_075f77,2.454469
seg_0775a7,2.2107308
seg_077b7e,2.7802505
seg_079e34,2.305174
seg_07c815,1.5837704
seg_07cd72,4.286439
seg_07f37c,3.0723567
seg_07f8df,2.801621
seg_07fc6d,5.341434
seg_086a61,4.8110404
seg_0870ab,3.4525352
seg_0879a8,5.2312355
seg_08b136,5.752315
seg_08f441,2.194507
seg_08fd5b,3.0230281
seg_091c9d,6.477929
seg_093a0a,4.8179936
seg_0968f1,3.7896264
seg_0981f3,3.2252297
seg_09dd59,3.878506
seg_09ed4e,6.8823442
seg_09f0ff,3.325263
seg_0a0fbb,7.1723404
seg_0a1bd0,3.7520595
seg_0a42ba,6.2834578
seg_0a45a1,1.4312366
seg_0a97c4,3.4453812
seg_0aa0fb,5.7409787
seg_0b07c7,4.201036
seg_0b082e,6.1884418
seg_0b32f7,3.7058263
seg_0b3b94,5.9129834
seg_0b48c4,2.5234907
seg_0b4b24,2.6023085
seg_0b54ac,2.3062885
seg_0b76f5,5.7468305
seg_0b9ad8,6.0155797
seg_0b9ba3,5.9789977
seg_0ba210,7.739457
seg_0ba585,2.047918
seg_0bb5fd,3.2218482
seg_0bc877,2.912036
seg_0be6ee,2.9683173
seg_0c12cc,5.2904663
seg_0c1d3a,3.4387589
seg_0c247b,4.518982
seg_0c3943,2.0729432
seg_0c4e31,3.1508234
seg_0c74cf,1.782649
seg_0c8502,6.682285
seg_0c89ce,4.2862573
seg_0c9aa8,7.2969675
seg_0cb81b,2.1792848
seg_0cca14,2.467115
seg_0cdcc8,1.596928
seg_0cf651,2.7763548
seg_0d0250,1.6061121
seg_0d04b9,3.4719832
seg_0d13a7,5.1513824
seg_0d434c,7.0300035
seg_0d540e,2.8489037
seg_0d663a,6.2868595
seg_0d6d68,4.6853743
seg_0d762e,4.748494
seg_0d833c,4.9053464
seg_0dae4b,2.2896905
seg_0dc38f,1.7460893
seg_0dcc40,4.640538
seg_0df469,2.8091085
seg_0df75c,8.228483
seg_0dfe8c,2.7576728
seg_0e1370,2.3871372
seg_0e1fbe,2.5456405
seg_0e3739,2.7606258
seg_0e3d44,4.1091437
seg_0e3ed2,1.583877
seg_0e4833,6.784971
seg_0e7cc5,4.56692
seg_0e8b79,8.038402
seg_0e9987,2.7719812
seg_0e9bb3,4.752098
seg_0eb333,1.677085
seg_0ebfd9,4.3756323
seg_0f565c,3.68436
seg_0f74a3,6.2818737
seg_0f8961,6.283918
seg_0fc67a,7.2600465
seg_0fca83,2.0464582
seg_0fd3ff,2.690251
seg_1010ad,5.037726
seg_103b32,4.4977455
seg_105cd9,2.7758558
seg_1084af,2.8207955
seg_10a595,3.705211
seg_10c09d,5.4617763
seg_10f3a6,2.0714266
seg_112b81,4.160634
seg_1144bc,7.303616
seg_114b79,3.970092
seg_115617,2.6830761
seg_115a92,2.9981894
seg_11647f,3.6195743
seg_117278,3.0306764
seg_117ff4,2.3812072
seg_11860f,3.3080087
seg_1201e8,3.5989645
seg_121446,4.8118296
seg_121cba,1.913883
seg_122ba9,4.5750775
seg_123dd4,6.5548916
seg_12ac20,6.83757
seg_12b9ba,5.1258063
seg_12ee6e,4.178184
seg_130e17,1.6555133
seg_13468a,3.8597956
seg_136285,4.2037096
seg_136695,5.3416977
seg_137f8a,5.3677387
seg_138807,3.1810555
seg_13c2f0,3.525003
seg_13e25f,3.87978
seg_140bc5,2.1037557
seg_141f34,7.2021537
seg_146926,7.6444035
seg_148698,4.4681277
seg_14ad27,1.6637563
seg_14c054,6.7495184
seg_14c371,5.015163
seg_14c435,1.8883368
seg_14c89d,4.137514
seg_14c8ce,4.82141
seg_14d1d3,3.8352864
seg_14f5f0,5.541958
seg_151368,5.3538065
seg_151d92,2.770257
seg_153d6a,7.64241
seg_154361,5.229152
seg_1562cb,7.9322166
seg_158691,3.3284042
seg_158764,5.0585423
seg_15adff,2.957656
seg_15bf25,6.0031095
seg_15c9f9,3.2768106
seg_161aeb,6.228591
seg_161f5f,3.277047
seg_162fc4,4.3677483
seg_16566c,3.7700417
seg_166f70,8.193068
seg_168d1c,4.4750214
seg_16a270,4.3799067
seg_16c3a7,2.3772986
seg_17067e,4.4152474
seg_170684,5.21291
seg_170a0c,5.336073
seg_176542,4.368183
seg_17799c,5.561566
seg_179d90,5.75443
seg_17adc0,3.9905338
seg_17d1ff,2.919847
seg_17e596,5.4815946
seg_180481,3.303902
seg_18096a,3.6818335
seg_1815fe,7.5673456
seg_1827c5,8.1915245
seg_184222,2.9146245
